PIP,DIP
-8.378702112,-3.204310987
-8.646432205,-3.307956011
-8.646432205,-3.307956011
-8.754433431,-3.603297799
-8.754433431,-3.603297799
-8.952780677,-3.794753049
-9.202381314,-3.923302383
-9.65461112,-3.885276423
-9.65461112,-3.885276423
-9.799195937,-4.084207243
-10.0998898,-4.125329205
-10.0998898,-4.125329205
-10.0998898,-4.125329205
-10.30536102,-4.316095383
-10.62721262,-4.41516252
-10.62721262,-4.41516252
-10.82631198,-4.557045102
-11.07071934,-4.730105321
-11.07071934,-4.730105321
-11.28424006,-4.913294852
-11.67572672,-4.9295707
-11.67572672,-4.9295707
-12.03933245,-5.057349541
-12.03933245,-5.057349541
-12.45879047,-5.167629235
-12.45879047,-5.167629235
-12.45879047,-5.167629235
-12.94722275,-5.17170077
-12.94722275,-5.17170077
-13.41612353,-5.365769767
-13.41612353,-5.365769767
-13.41612353,-5.365769767
-13.86770128,-5.6083855
-14.39213801,-5.681546545
-14.79481253,-6.037857737
-14.79481253,-6.037857737
-15.26862178,-6.062163064
-15.87513238,-6.183350957
-16.39362446,-6.438264633
-16.39362446,-6.438264633
-16.39362446,-6.438264633
-16.97416774,-6.562729641
-16.97416774,-6.562729641
-17.60295989,-6.57462247
-17.60295989,-6.57462247
-17.88926036,-7.099880825
-17.88926036,-7.099880825
-17.88926036,-7.099880825
-18.47403175,-7.1027259
-18.47403175,-7.1027259
-18.96671779,-7.191105456
-19.54304607,-7.426175323
-19.54304607,-7.426175323
-19.9413783,-7.698045108
-20.58582195,-7.703653894
-21.07801129,-7.758099849
-21.07801129,-7.758099849
-21.46217474,-8.006039544
-21.46217474,-8.006039544
-21.46217474,-8.006039544
-22.02842565,-8.088866524
-22.37969388,-8.259981045
-22.37969388,-8.259981045
-22.80958893,-8.623911386
-23.1559695,-8.414279401
-23.43272625,-8.59005989
-23.43272625,-8.59005989
-23.49500415,-8.829749749
-23.91638176,-8.934869181
-24.25523225,-8.932479564
-24.25523225,-8.932479564
-24.50039076,-9.07264825
-24.50039076,-9.07264825
-24.50039076,-9.07264825
-24.75840505,-9.340772701
-24.75840505,-9.340772701
-25.19054784,-9.33806086
-25.7866145,-9.370901189
-25.7866145,-9.370901189
-26.1864459,-9.641965001
-26.1864459,-9.641965001
-26.33938198,-9.724947265
-26.48074253,-9.919370096
-26.48074253,-9.919370096
-26.74759689,-9.935288748
-26.74759689,-9.935288748
-26.97340917,-9.886440959
-27.20573894,-9.982663036
-27.20573894,-9.982663036
-27.12619737,-10.11312183
-27.36892327,-9.851684377
-27.36892327,-9.851684377
-27.2545581,-10.08805513
-27.2545581,-10.08805513
-27.21203736,-10.02366943
-27.21203736,-10.02366943
-27.07681942,-10.06226819
-27.24008874,-9.978328898
-27.24008874,-9.978328898
-27.25318044,-9.835335261
-27.09812693,-10.2496016
-27.31254956,-9.952168172
-27.31254956,-9.952168172
-27.11040945,-9.995739814
-27.11040945,-9.995739814
-27.11040945,-9.995739814
-27.10216647,-10.15925642
-27.10216647,-10.15925642
-27.10216647,-10.15925642
-27.24178146,-10.10129618
-27.30428284,-10.01778842
-27.30428284,-10.01778842
-27.20825972,-10.09945243
-27.20825972,-10.09945243
-27.20825972,-10.09945243
-27.15598763,-10.04651509
-27.2068121,-9.918874538
-27.2068121,-9.918874538
-27.2068121,-9.918874538
-27.14454238,-10.06148676
-27.14454238,-10.06148676
-27.05697623,-10.02114519
-27.11690621,-10.14014137
-27.11690621,-10.14014137
-27.04304755,-10.14196082
-27.04304755,-10.14196082
-27.08850019,-10.1284557
-27.08850019,-10.1284557
-27.08850019,-10.1284557
-27.08850019,-10.1284557
-27.12230455,-9.923248396
-27.18969773,-9.972947642
-27.13542572,-10.03843051
-27.13542572,-10.03843051
-27.20062487,-10.11775556
-27.13562183,-10.27267938
-27.13562183,-10.27267938
-27.19962683,-10.2683744
-27.19962683,-10.2683744
-27.19962683,-10.2683744
-27.40830875,-10.20119976
-27.44426936,-10.45120886
