Time;DP_data1x;DP_data1z;DP_data2x;DP_data2z;MP_data1x;MP_data1z;MP_data2x;MP_data2z;PP_data1x;PP_data1z;PP_data2x;PP_data2z
45,093579;0,025352;0,206258759;0,0476177;0,214587271;0,087622494;0,212829277;0,121241435;0,206385419;0,119494379;0,154419258;0,121299192;0,108477704
45,102580;0,025559;0,209253252;0,048206095;0,216627374;0,088229105;0,213670775;0,121664375;0,206417963;0,119655363;0,154466107;0,121322274;0,108487971
45,111580;0,025559;0,209253252;0,048206095;0,216627374;0,088229105;0,213670775;0,121664375;0,206417963;0,119655363;0,154466107;0,121322274;0,108487971
45,120581;0,025698;0,210668415;0,048493344;0,217507616;0,088569552;0,214029819;0,121919304;0,206491798;0,119792402;0,154477865;0,121332929;0,108504087
45,129581;0,026425;0,214488536;0,049557433;0,220083371;0,089613952;0,215140134;0,122744888;0,206570119;0,12013419;0,154538259;0,121360198;0,108563073
45,138582;0,026425;0,214488536;0,049557433;0,220083371;0,089613952;0,215140134;0,122744888;0,206570119;0,12013419;0,154538259;0,121360198;0,108563073
45,147582;0,027181;0,216989219;0,050545488;0,221766084;0,090518676;0,21584858;0,123439118;0,206566274;0,12048649;0,154588655;0,121389858;0,1085978
45,156583;0,027181;0,216989219;0,050545488;0,221766084;0,090518676;0,21584858;0,123439118;0,206566274;0,12048649;0,154588655;0,121389858;0,1085978
45,165583;0,028009;0,219638139;0,05146477;0,223527536;0,091421902;0,216613397;0,124155156;0,206618041;0,120828107;0,154645711;0,121436052;0,108669318
45,174584;0,028009;0,219638139;0,05146477;0,223527536;0,091421902;0,216613397;0,124155156;0,206618041;0,120828107;0,154645711;0,121436052;0,108669318
45,183584;0,030722;0,226360157;0,054454155;0,228022069;0,094046481;0,218504697;0,12615703;0,206739366;0,121757671;0,154768318;0,121529102;0,108807854
45,192585;0,030722;0,226360157;0,054454155;0,228022069;0,094046481;0,218504697;0,12615703;0,206739366;0,121757671;0,154768318;0,121529102;0,108807854
45,201586;0,031292;0,227586031;0,055081978;0,228867561;0,094594158;0,218842879;0,126557693;0,206727207;0,121928886;0,154787332;0,121538393;0,108807832
45,210586;0,031292;0,227586031;0,055081978;0,228867561;0,094594158;0,218842879;0,126557693;0,206727207;0,121928886;0,154787332;0,121538393;0,108807832
45,219586;0,031877;0,228825957;0,05570313;0,229709998;0,095102936;0,219203442;0,12697354;0,206714213;0,122119702;0,154793993;0,121558435;0,108841643
45,228587;0,031877;0,228825957;0,05570313;0,229709998;0,095102936;0,219203442;0,12697354;0,206714213;0,122119702;0,154793993;0,121558435;0,108841643
45,237587;0,032478;0,230095997;0,056279361;0,230549574;0,095591657;0,219521075;0,127352625;0,206710905;0,122280963;0,154823452;0,121570729;0,108857438
45,246588;0,032478;0,230095997;0,056279361;0,230549574;0,095591657;0,219521075;0,127352625;0,206710905;0,122280963;0,154823452;0,121570729;0,108857438
45,255588;0,033048;0,231416509;0,056854062;0,231420159;0,096075684;0,219874218;0,127679259;0,206726655;0,122436114;0,154839054;0,121581435;0,108873636
45,264589;0,033048;0,231416509;0,056854062;0,231420159;0,096075684;0,219874218;0,127679259;0,206726655;0,122436114;0,154839054;0,121581435;0,108873636
45,273590;0,033584;0,232828513;0,057389159;0,232329771;0,096503668;0,220256194;0,127933472;0,206722781;0,122568592;0,15484859;0,12159612;0,10889212
45,282590;0,034834;0,235812217;0,058570459;0,234290391;0,097389944;0,221035615;0,128478914;0,206733778;0,122786619;0,154885739;0,121615455;0,108917907
45,291590;0,034834;0,235812217;0,058570459;0,234290391;0,097389944;0,221035615;0,128478914;0,206733778;0,122786619;0,154885739;0,121615455;0,108917907
45,300591;0,035532;0,237309366;0,05922224;0,235264748;0,097860672;0,221424535;0,128778592;0,20675455;0,122930594;0,15487963;0,121624321;0,108931929
45,309592;0,035532;0,237309366;0,05922224;0,235264748;0,097860672;0,221424535;0,128778592;0,20675455;0,122930594;0,15487963;0,121624321;0,108931929
45,318592;0,036932;0,240217701;0,0605147;0,237136915;0,09883716;0,222165823;0,12939547;0,206725284;0,123195544;0,154929593;0,121658385;0,108958654
45,327592;0,036932;0,240217701;0,0605147;0,237136915;0,09883716;0,222165823;0,12939547;0,206725284;0,123195544;0,154929593;0,121658385;0,108958654
45,336593;0,037633;0,241651282;0,061145905;0,23805131;0,099304937;0,22250849;0,129641846;0,206733763;0,123297386;0,154932946;0,121659301;0,108971283
45,345594;0,037633;0,241651282;0,061145905;0,23805131;0,099304937;0,22250849;0,129641846;0,206733763;0,123297386;0,154932946;0,121659301;0,108971283
45,354594;0,038998;0,244639456;0,062310435;0,239986315;0,100049652;0,223269299;0,129975036;0,206728071;0,123441145;0,154901713;0,121668197;0,108978428
45,363595;0,038998;0,244639456;0,062310435;0,239986315;0,100049652;0,223269299;0,129975036;0,206728071;0,123441145;0,154901713;0,121668197;0,108978428
45,372595;0,040810;0,24936831;0,063734204;0,242998749;0,100762896;0,22445409;0,130027294;0,206786305;0,123402186;0,154931322;0,121670052;0,108988784
45,381596;0,040810;0,24936831;0,063734204;0,242998749;0,100762896;0,22445409;0,130027294;0,206786305;0,123402186;0,154931322;0,121670052;0,108988784
45,390596;0,042102;0,252201468;0,064665079;0,244793952;0,101244748;0,225161597;0,130066633;0,206794515;0,123386696;0,154932588;0,121667035;0,108984247
45,399597;0,042102;0,252201468;0,064665079;0,244793952;0,101244748;0,225161597;0,130066633;0,206794515;0,123386696;0,154932588;0,121667035;0,108984247
45,408597;0,042780;0,253444493;0,065210626;0,245641589;0,101519495;0,225456759;0,130130276;0,206770927;0,12340454;0,154925957;0,121677339;0,108983077
45,417598;0,042780;0,253444493;0,065210626;0,245641589;0,101519495;0,225456759;0,130130276;0,206770927;0,12340454;0,154925957;0,121677339;0,108983077
45,426598;0,044099;0,255870938;0,066199213;0,247148365;0,102063522;0,226060912;0,130294189;0,206778109;0,123451896;0,154912293;0,121690616;0,108994454
45,435599;0,044099;0,255870938;0,066199213;0,247148365;0,102063522;0,226060912;0,130294189;0,206778109;0,123451896;0,154912293;0,121690616;0,108994454
45,444599;0,044761;0,256995291;0,066694006;0,247894242;0,102328338;0,226322681;0,130332276;0,206790999;0,123460218;0,154915214;0,12167424;0,108992219
45,453600;0,044761;0,256995291;0,066694006;0,247894242;0,102328338;0,226322681;0,130332276;0,206790999;0,123460218;0,154915214;0,12167424;0,108992219
45,462600;0,045393;0,258152127;0,067150302;0,248619825;0,102558039;0,226619348;0,130371287;0,206760779;0,123453155;0,154912055;0,121672846;0,108987018
45,471601;0,046034;0,259234101;0,067571573;0,249341011;0,102730289;0,226884574;0,130348742;0,206777379;0,12342637;0,154923335;0,121677175;0,108979382
45,480601;0,046620;0,260350108;0,068001695;0,249341011;0,102921888;0,227156237;0,130305961;0,206763104;0,123392113;0,15492633;0,121673115;0,108974017
45,489602;0,047205;0,261456162;0,068384796;0,250766009;0,10304559;0,227436781;0,130219325;0,206727624;0,123334423;0,154929325;0,121666767;0,108967029
45,498602;0,048289;0,263533086;0,069046102;0,25210613;0,103204131;0,227940664;0,130016685;0,206762761;0,123192415;0,1549128;0,121640518;0,108952917
45,507603;0,048289;0,263533086;0,069046102;0,25210613;0,103204131;0,227940664;0,130016685;0,206762761;0,123192415;0,1549128;0,121640518;0,108952917
45,516603;0,049320;0,265663683;0,069620468;0,25348112;0,103244863;0,228433937;0,129639834;0,206742615;0,122958034;0,154870495;0,121613599;0,108923785
45,525604;0,050308;0,267713904;0,070166886;0,254790097;0,103225961;0,228922486;0,129201367;0,206738457;0,122704677;0,154862791;0,121584438;0,10889443
